                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.25709,                0.38616,                0.21444,                0.81215,                0.97494,                0.97616,                0.99043,                0.98785,                0.97494,                0.97616,                0.99043,                0.92964,                0.16905,                0.33681,                0.15692,                0.77341,               0.003961,               0.003961,               0.003961
                     63,                0.24613,                0.37484,                0.21706,                0.81118,                0.96586,                0.98105,                0.99032,                0.98749,                0.96586,                0.98105,                0.99032,                0.93076,                0.16884,                0.33609,                0.15895,                0.77523,               0.003862,               0.003862,               0.003862
                     64,                0.25449,                0.38177,                0.22386,                0.81017,                0.96693,                0.98006,                0.99181,                0.98844,                0.96693,                0.98006,                0.99181,                0.93389,                0.16826,                0.34535,                0.15765,                0.77546,               0.003763,               0.003763,               0.003763
                     65,                0.25223,                  0.356,                0.21188,                 0.8076,                0.96495,                0.97892,                0.99181,                0.98546,                0.96495,                0.97892,                0.99181,                 0.9344,                0.16658,                0.34179,                0.16915,                0.77539,               0.003664,               0.003664,               0.003664
                     66,                0.24686,                0.39876,                0.21545,                0.80849,                0.95786,                0.97667,                0.99048,                0.98391,                0.95786,                0.97667,                0.99048,                0.93913,                0.16938,                0.32949,                0.17989,                0.77542,               0.003565,               0.003565,               0.003565
                     67,                0.24932,                0.37883,                0.21419,                0.80687,                0.95497,                0.97716,                0.99159,                0.98768,                0.95497,                0.97716,                0.99159,                0.93374,                0.16566,                0.32522,                0.18297,                0.77582,               0.003466,               0.003466,               0.003466
                     68,                0.25463,                0.37631,                0.21116,                0.80874,                0.94951,                 0.9744,                0.99427,                0.98948,                0.94951,                 0.9744,                0.99427,                 0.9393,                0.17376,                0.34443,                 0.1942,                0.77725,               0.003367,               0.003367,               0.003367
                     69,                0.25527,                0.39382,                0.22225,                0.81548,                0.95109,                0.97384,                 0.9945,                0.98907,                0.95109,                0.97384,                 0.9945,                0.94177,                0.17516,                0.32195,                0.19735,                0.77619,               0.003268,               0.003268,               0.003268
                     70,                0.25048,                0.37558,                0.22408,                0.81855,                0.96202,                0.96915,                0.99437,                 0.9892,                0.96202,                0.96915,                0.99437,                0.93553,                0.17225,                0.32767,                0.17817,                0.77663,               0.003169,               0.003169,               0.003169
                     71,                0.24292,                0.38243,                0.21331,                0.81041,                0.96932,                0.98433,                0.98932,                0.98221,                0.96932,                0.98433,                0.98932,                0.91683,                0.18949,                0.35473,                0.16311,                0.77752,                0.00307,                0.00307,                0.00307
