                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.32038,                0.10203,                0.16384,                0.16219,                0.81498,                0.76812,                      1,                0.83667,                0.77859,                0.76812,                      1,                0.83667,                0.83667,                0.37588,                0.06807,                0.09834,                0.59608,                0.83122,             0.00086338,             0.00086338,             0.00086338
                     71,                0.36527,                 0.1178,                0.19514,                0.17548,                0.81992,                0.76818,                      1,                0.85048,                0.80288,                0.76818,                      1,                0.85048,                0.85048,                0.35324,                0.06682,                0.09149,                0.60301,                0.81754,              0.0008614,              0.0008614,              0.0008614
                     72,                0.41033,                0.11485,                0.24822,                0.18683,                0.88882,                0.76811,                      1,                0.85048,                0.81221,                0.76811,                      1,                0.85048,                0.85048,                0.33127,                0.06443,                0.08958,                 0.5849,                0.81176,             0.00085942,             0.00085942,             0.00085942
                     73,                0.38137,                0.09256,                0.16763,                0.17822,                0.83887,                 0.7681,                      1,                0.85664,                0.80298,                 0.7681,                      1,                0.85664,                0.85664,                0.32672,                0.06407,                0.08677,                0.59205,                0.80963,             0.00085744,             0.00085744,             0.00085744
                     74,                 0.3589,                0.10699,                0.16113,                0.19301,                0.83006,                0.76795,                      1,                 0.8575,                0.80456,                0.76795,                      1,                 0.8575,                 0.8575,                 0.3514,                   0.07,                0.08511,                0.60465,                0.81042,             0.00085546,             0.00085546,             0.00085546
                     75,                0.34176,                0.10701,                0.20052,                0.16043,                0.83513,                0.76787,                      1,                0.84325,                0.77483,                0.76787,                      1,                0.84325,                0.84325,                0.39393,                0.05975,                0.08134,                0.60547,                0.83481,             0.00085348,             0.00085348,             0.00085348
                     76,                0.36218,                0.09803,                0.19654,                0.17129,                0.82312,                0.76788,                      1,                0.85393,                0.79657,                0.76788,                      1,                0.85393,                0.85393,                0.39148,                0.05661,                0.08021,                0.61357,                0.83552,              0.0008515,              0.0008515,              0.0008515
                     77,                0.30972,                0.11022,                 0.1493,                0.15267,                0.79451,                0.76781,                      1,                0.84159,                0.76588,                0.76781,                      1,                0.84159,                0.84159,                0.44459,                0.05582,                0.07915,                0.61747,                 0.8598,             0.00084952,             0.00084952,             0.00084952
                     78,                0.40769,                0.16079,                0.24525,                0.19871,                0.85461,                0.76779,                      1,                0.85152,                0.78782,                0.76779,                      1,                0.85152,                0.85152,                0.41618,                0.06122,                0.07838,                 0.6176,                0.84778,             0.00084754,             0.00084754,             0.00084754
                     79,                0.31628,                0.11742,                0.13849,                0.15995,                 0.8008,                 0.7677,                      1,                0.84558,                0.79827,                 0.7677,                      1,                0.84558,                0.84558,                0.38037,                0.05779,                0.07463,                0.60956,                 0.8241,             0.00084556,             0.00084556,             0.00084556
                     80,                0.37679,                0.13675,                0.19858,                0.17862,                 0.8473,                0.76772,                      1,                0.84373,                0.79666,                0.76772,                      1,                0.84373,                0.84373,                 0.3722,                0.05763,                0.07289,                 0.6193,                0.81617,             0.00084358,             0.00084358,             0.00084358
                     81,                0.33124,                0.10178,                0.21006,                0.18228,                0.85348,                0.76769,                      1,                0.83583,                0.79168,                0.76769,                      1,                0.83583,                0.83583,                0.37405,                0.05795,                0.07174,                0.61164,                0.81772,              0.0008416,              0.0008416,              0.0008416
                     82,                0.33445,                0.15319,                0.16719,                0.16969,                 0.8316,                0.76761,                      1,                0.81461,                0.75648,                0.76761,                      1,                0.81461,                0.81461,                0.38014,                0.05813,                0.07129,                0.60782,                0.82793,             0.00083962,             0.00083962,             0.00083962
                     83,                 0.3456,                0.10627,                0.15035,                0.17434,                 0.7955,                0.76735,                      1,                0.80012,                0.74181,                0.76735,                      1,                0.80012,                0.80012,                0.38519,                0.05904,                 0.0687,                0.61458,                0.83311,             0.00083764,             0.00083764,             0.00083764
                     84,                0.34765,                0.10252,                0.18899,                 0.1747,                0.83789,                0.76735,                      1,                0.81358,                0.75941,                0.76735,                      1,                0.81358,                0.81358,                0.36192,                0.05717,                0.06742,                0.60025,                0.81979,             0.00083566,             0.00083566,             0.00083566
